file,eliminated,eliminator,gun_type,knocked,time,seconds,weapon
UnsavedReplay-2019.01.17-19.39.29.replay,HaGetDeleted,YummY7.,4,0,1970-01-01 10:01:07.958,67.958,AR
UnsavedReplay-2019.01.17-19.39.29.replay,Chief Ngakuku,IQ_KILLAH829,3,0,1970-01-01 10:01:10.348,70.348,SHOTGUN
UnsavedReplay-2019.01.17-19.39.29.replay,IQ_KILLAH829,TheHanaSw0rd,5,0,1970-01-01 10:01:13.888,73.888,SMG
UnsavedReplay-2019.01.17-19.39.29.replay,YT Your Trash,YummY7.,5,0,1970-01-01 10:01:18.192,78.192,SMG
UnsavedReplay-2019.01.17-19.39.29.replay,SaltyKeepo,grant0429,3,0,1970-01-01 10:01:18.405,78.405,SHOTGUN
UnsavedReplay-2019.01.17-19.39.29.replay,Caesar45au,avonice,3,0,1970-01-01 10:01:27.370,87.37,SHOTGUN
UnsavedReplay-2019.01.17-19.39.29.replay,Rayunnnnnnnnnn,Salvatore Edward,4,0,1970-01-01 10:01:30.120,90.12,AR
UnsavedReplay-2019.01.17-19.39.29.replay,justjuiceNz,ZippyBTW,2,0,1970-01-01 10:01:30.959,90.959,PISTOL
UnsavedReplay-2019.01.17-19.39.29.replay,un.orthodox,Twitch TysonTaco,23,0,1970-01-01 10:01:37.607,97.607,GASNADE
UnsavedReplay-2019.01.17-19.39.29.replay,salihgameplayTTV,MAQBEG94,3,0,1970-01-01 10:01:38.713,98.713,SHOTGUN
UnsavedReplay-2019.01.17-19.39.29.replay,Twitch_bubonicDK,TheHanaSw0rd,3,0,1970-01-01 10:01:48.769,108.769,SHOTGUN
UnsavedReplay-2019.01.17-19.39.29.replay,MLGamaez55,SubToRsaun,4,0,1970-01-01 10:01:49.355,109.355,AR
UnsavedReplay-2019.01.17-19.39.29.replay,AFG_GhostYT,YummY7.,5,0,1970-01-01 10:01:52.652,112.652,SMG
UnsavedReplay-2019.01.17-19.39.29.replay,Trex212cod,Rynowar,5,0,1970-01-01 10:01:52.973,112.973,SMG
UnsavedReplay-2019.01.17-19.39.29.replay,Rynowar,Zzt phantom,3,0,1970-01-01 10:02:01.260,121.26,SHOTGUN
UnsavedReplay-2019.01.17-19.39.29.replay,UnseenBladeOCE,SlinKyZ.YT,2,0,1970-01-01 10:02:05.298,125.298,PISTOL
UnsavedReplay-2019.01.17-19.39.29.replay,Broccy05,dogzillar,4,0,1970-01-01 10:02:08.106,128.106,AR
UnsavedReplay-2019.01.17-19.39.29.replay,Joshhewi7,SlinKyZ.YT,3,0,1970-01-01 10:02:20.759,140.759,SHOTGUN
UnsavedReplay-2019.01.17-19.39.29.replay,TTV.Synphetix,ｔimｔimｓam,4,0,1970-01-01 10:02:20.865,140.865,AR
UnsavedReplay-2019.01.17-19.39.29.replay,UkrainianCoochie,KILLERFINN4000,4,0,1970-01-01 10:02:22.428,142.428,AR
UnsavedReplay-2019.01.17-19.39.29.replay,elementsnz,Valquu,5,0,1970-01-01 10:02:23.567,143.567,SMG
UnsavedReplay-2019.01.17-19.39.29.replay,FazeTfue280,Henesiㅤ,2,0,1970-01-01 10:02:24.379,144.379,PISTOL
UnsavedReplay-2019.01.17-19.39.29.replay,Delta_Mike1,Henesiㅤ,3,0,1970-01-01 10:02:31.291,151.291,SHOTGUN
UnsavedReplay-2019.01.17-19.39.29.replay,SubToRsaun,ʟᴜᴄᴀsツ,4,0,1970-01-01 10:02:35.788,155.788,AR
UnsavedReplay-2019.01.17-19.39.29.replay,JayCeeProd2017,x mac,3,0,1970-01-01 10:02:36.051,156.051,SHOTGUN
UnsavedReplay-2019.01.17-19.39.29.replay,avonice,SUPASPIDERPIG,4,0,1970-01-01 10:02:37.233,157.233,AR
UnsavedReplay-2019.01.17-19.39.29.replay,TTVYaMum,ZippyBTW,3,0,1970-01-01 10:02:37.930,157.93,SHOTGUN
UnsavedReplay-2019.01.17-19.39.29.replay,grobey551,Henesiㅤ,2,0,1970-01-01 10:02:38.611,158.611,PISTOL
UnsavedReplay-2019.01.17-19.39.29.replay,Iliya Todorov,ALT F4 NOW,2,0,1970-01-01 10:02:39.883,159.883,PISTOL
UnsavedReplay-2019.01.17-19.39.29.replay,KILLERFINN4000,Baccuh,3,0,1970-01-01 10:02:40.221,160.221,SHOTGUN
UnsavedReplay-2019.01.17-19.39.29.replay,ThyQuantum,Henesiㅤ,3,0,1970-01-01 10:02:45.039,165.039,SHOTGUN
UnsavedReplay-2019.01.17-19.39.29.replay,PeterNT,Henesiㅤ,3,0,1970-01-01 10:02:45.396,165.396,SHOTGUN
UnsavedReplay-2019.01.17-19.39.29.replay,christmascookie,GoombauBTW,3,0,1970-01-01 10:02:53.928,173.928,SHOTGUN
UnsavedReplay-2019.01.17-19.39.29.replay,Biggling YT,Henesiㅤ,2,0,1970-01-01 10:02:54.114,174.114,PISTOL
UnsavedReplay-2019.01.17-19.39.29.replay,xd BB-8,ｔimｔimｓam,3,0,1970-01-01 10:02:56.891,176.891,SHOTGUN
UnsavedReplay-2019.01.17-19.39.29.replay,arnavreddy14,Insomnia Rival,4,0,1970-01-01 10:02:57.787,177.787,AR
UnsavedReplay-2019.01.17-19.39.29.replay,GoombauBTW,mute9oce,5,0,1970-01-01 10:03:07.680,187.68,SMG
UnsavedReplay-2019.01.17-19.39.29.replay,daddyturk,Psychapie,3,0,1970-01-01 10:03:16.020,196.02,SHOTGUN
UnsavedReplay-2019.01.17-19.39.29.replay,deanosteo,KrezavaPomija,3,0,1970-01-01 10:03:21.990,201.99,SHOTGUN
UnsavedReplay-2019.01.17-19.39.29.replay,grant0429,Twitch TysonTaco,6,0,1970-01-01 10:03:24.098,204.098,SNIPER
UnsavedReplay-2019.01.17-19.39.29.replay,SlinKyZ.YT,ｔimｔimｓam,3,0,1970-01-01 10:03:25.897,205.897,SHOTGUN
UnsavedReplay-2019.01.17-19.39.29.replay,funnycake246,iG Ajex,3,0,1970-01-01 10:03:26.054,206.054,SHOTGUN
UnsavedReplay-2019.01.17-19.39.29.replay,ZippyBTW,Insomnia Rival,3,0,1970-01-01 10:03:29.632,209.632,SHOTGUN
UnsavedReplay-2019.01.17-19.39.29.replay,MojangCam06,FlippingPancakez,3,0,1970-01-01 10:03:30.733,210.733,SHOTGUN
UnsavedReplay-2019.01.17-19.39.29.replay,ttv.F9L4NE,ALT F4 NOW,5,0,1970-01-01 10:03:39.714,219.714,SMG
UnsavedReplay-2019.01.17-19.39.29.replay,iG Ajex,Baccuh,6,0,1970-01-01 10:03:42.784,222.784,SNIPER
UnsavedReplay-2019.01.17-19.39.29.replay,arsik_oraz,ND_Slexy,4,0,1970-01-01 10:03:48.436,228.436,AR
UnsavedReplay-2019.01.17-19.39.29.replay,mute9oce,Salvatore Edward,7,0,1970-01-01 10:03:51.344,231.344,PICKAXE
UnsavedReplay-2019.01.17-19.39.29.replay,x mac,Insomnia Rival,4,0,1970-01-01 10:03:52.021,232.021,AR
UnsavedReplay-2019.01.17-19.39.29.replay,tymo_slicker,taobaoshopper,10,0,1970-01-01 10:04:15.366,255.366,GRENADELAUNCHER
UnsavedReplay-2019.01.17-19.39.29.replay,Yeetosaurus-Flex,Yeetosaurus-Flex,1,0,1970-01-01 10:04:15.530,255.53,FALL
UnsavedReplay-2019.01.17-19.39.29.replay,noskin oofer,noskin oofer,26,0,1970-01-01 10:04:18.471,258.471,TEAMSWITCH
UnsavedReplay-2019.01.17-19.39.29.replay,dogzillar,Q69I,5,0,1970-01-01 10:04:28.525,268.525,SMG
UnsavedReplay-2019.01.17-19.39.29.replay,SuperBreddy,Insomnia Rival,4,0,1970-01-01 10:04:35.608,275.608,AR
UnsavedReplay-2019.01.17-19.39.29.replay,PastaEnthusiast,MAQBEG94,4,0,1970-01-01 10:04:39.861,279.861,AR
UnsavedReplay-2019.01.17-19.39.29.replay,ｔimｔimｓam,Salvatore Edward,4,0,1970-01-01 10:04:39.913,279.913,AR
UnsavedReplay-2019.01.17-19.39.29.replay,Kooolozi,CaftyMan,2,0,1970-01-01 10:04:47.032,287.032,PISTOL
UnsavedReplay-2019.01.17-19.39.29.replay,tdoggiedog521,esra star,3,0,1970-01-01 10:04:48.058,288.058,SHOTGUN
UnsavedReplay-2019.01.17-19.39.29.replay,ALT F4 NOW,Dom only,3,0,1970-01-01 10:05:17.088,317.088,SHOTGUN
UnsavedReplay-2019.01.17-19.39.29.replay,Psychapie,Valquu,4,0,1970-01-01 10:05:20.654,320.654,AR
UnsavedReplay-2019.01.17-19.39.29.replay,curtins,TheHanaSw0rd,4,0,1970-01-01 10:05:35.944,335.944,AR
UnsavedReplay-2019.01.17-19.39.29.replay,PredatorAL,YummY7.,3,0,1970-01-01 10:05:38.528,338.528,SHOTGUN
UnsavedReplay-2019.01.17-19.39.29.replay,FlippingPancakez,FlippingPancakez,1,0,1970-01-01 10:05:49.653,349.653,FALL
UnsavedReplay-2019.01.17-19.39.29.replay,BOONEY05,Henesiㅤ,3,0,1970-01-01 10:05:50.387,350.387,SHOTGUN
UnsavedReplay-2019.01.17-19.39.29.replay,MAQBEG94,ND_Slexy,5,0,1970-01-01 10:05:57.184,357.184,SMG
UnsavedReplay-2019.01.17-19.39.29.replay,esra star,TheHanaSw0rd,4,0,1970-01-01 10:05:57.549,357.549,AR
UnsavedReplay-2019.01.17-19.39.29.replay,KrezavaPomija,Insomnia Rival,3,0,1970-01-01 10:06:10.173,370.173,SHOTGUN
UnsavedReplay-2019.01.17-19.39.29.replay,YummY7.,Twitch TysonTaco,3,0,1970-01-01 10:06:20.466,380.466,SHOTGUN
UnsavedReplay-2019.01.17-19.39.29.replay,TSM hornedog,Salvatore Edward,3,0,1970-01-01 10:06:21.617,381.617,SHOTGUN
UnsavedReplay-2019.01.17-19.39.29.replay,MyMainGotDisable,TheHanaSw0rd,3,0,1970-01-01 10:06:38.508,398.508,SHOTGUN
