file,player_name,platform,retrieved_date,kd_rate,kills,matches_played,score,top_10,top_12s,top_25s,top_3s,top_5s,top_6s,win_pct,wins
UnsavedReplay-2019.01.18-19.46.29.replay,Xt1nc7xx,pc,2019-01-19 00:42:54,0.43,3,7,361,0,0,0,0,0,0,0,0
UnsavedReplay-2019.01.18-19.46.29.replay,Xt1nc7xx,psn,2019-01-19 00:42:57,1.24,6086,5049,769930,256,284,656,158,134,288,3,129
UnsavedReplay-2019.01.18-19.46.29.replay,xd Ethaη,pc,2019-01-19 00:43:02,1.12,8060,7435,1286757,469,610,946,380,292,696,3,240
UnsavedReplay-2019.01.18-19.46.29.replay,SoImEli,pc,2019-01-19 00:43:11,0.41,1680,4094,454721,68,210,256,74,63,178,0,17
UnsavedReplay-2019.01.18-19.46.29.replay,Gio7873,pc,2019-01-19 00:43:19,0.16,20,127,8959,0,0,6,3,0,3,0,0
UnsavedReplay-2019.01.18-19.46.29.replay,Gio7873,xbl,2019-01-19 00:43:24,0.4,631,1575,175710,30,40,128,13,12,47,0,3
UnsavedReplay-2019.01.18-19.46.29.replay,SNA_Redstar,pc,2019-01-19 00:43:27,0.58,3407,5898,715793,62,184,263,137,59,332,1,46
UnsavedReplay-2019.01.18-19.46.29.replay,TheRecycleGuy108,pc,2019-01-19 00:43:36,0.45,792,1766,178211,73,12,322,0,3,1,0,0
UnsavedReplay-2019.01.18-19.46.29.replay,xd r2scrazydude,pc,2019-01-19 00:43:44,0.27,674,2548,265721,31,105,221,28,21,68,1,12
UnsavedReplay-2019.01.18-19.46.29.replay,ooo000cleo000ooo,pc,2019-01-19 00:43:52,0.07,8,114,14952,8,0,14,5,0,15,0,0
UnsavedReplay-2019.01.18-19.46.29.replay,Alpha Kayos,pc,2019-01-19 00:44:00,1.75,28,17,2638,1,0,3,1,0,1,6,1
UnsavedReplay-2019.01.18-19.46.29.replay,Alpha Kayos,xbl,2019-01-19 00:44:05,2.89,10679,4070,849133,443,481,757,233,264,333,9,371
UnsavedReplay-2019.01.18-19.46.29.replay,LaveDemon66,pc,2019-01-19 00:44:08,0.29,996,3502,387362,28,131,102,71,34,210,0,14
UnsavedReplay-2019.01.18-19.46.29.replay,Little One 420,pc,2019-01-19 00:44:16,0.43,759,1755,181122,70,41,207,12,11,39,0,5
UnsavedReplay-2019.01.18-19.46.29.replay,Little One 420,psn,2019-01-19 00:44:19,0.57,8,14,1469,0,0,4,0,0,0,0,0
UnsavedReplay-2019.01.18-19.46.29.replay,r1ckytricky123,pc,2019-01-19 00:44:24,0.6,3008,5093,533344,88,116,208,135,32,279,1,53
UnsavedReplay-2019.01.18-19.46.29.replay,r1ckytricky123,psn,2019-01-19 00:44:27,0.0,0,4,222,0,0,1,0,0,0,0,0
UnsavedReplay-2019.01.18-19.46.29.replay,Ginoyarn,pc,2019-01-19 00:44:32,0.15,69,451,35198,7,19,38,1,5,3,0,0
UnsavedReplay-2019.01.18-19.46.29.replay,nounours-2007,pc,2019-01-19 00:44:40,0.54,312,581,60284,8,11,39,10,2,25,0,1
UnsavedReplay-2019.01.18-19.46.29.replay,Veśtra Jay,pc,2019-01-19 00:44:48,2.76,13932,5335,1018579,236,595,445,279,312,487,6,293
UnsavedReplay-2019.01.18-19.46.29.replay,Walugini,pc,2019-01-19 00:45:06,0.54,746,1383,184982,105,88,263,17,26,44,1,8
UnsavedReplay-2019.01.18-19.46.29.replay,Walugini,psn,2019-01-19 00:45:08,0.54,214,397,51013,38,4,112,2,1,2,1,2
UnsavedReplay-2019.01.18-19.46.29.replay,xd Bradly_G0d,pc,2019-01-19 00:45:14,0.34,384,1150,125155,21,97,52,14,22,33,0,4
UnsavedReplay-2019.01.18-19.46.29.replay,xd Bradly_G0d,xbl,2019-01-19 00:45:19,0.3,356,1196,136243,36,34,103,11,9,31,0,5
UnsavedReplay-2019.01.18-19.46.29.replay,ickzi,psn,2019-01-19 00:45:25,1.13,105,95,11389,5,0,12,2,0,4,2,2
